UUID,Überbegriff,Thema,Subthema,Beschreibung,AWS,GCP,Azure
ec2b8cab-62e8-42d2-a1ac-4f232ef2a655,Speicher- und Datenmanagement,Block Storage,256.000 IOPS,Block Storage mit 256.000 IOPS ermöglicht hochperformante Datenverarbeitung und schnelle Zugriffszeiten für anspruchsvolle Anwendungen.,True,False,False
4a0d2d57-18b3-49a0-8803-1f0945ecaf5f,Identitäts- und Zugriffsmanagement,Globales IAM ,federated SSO (OpenID Connect/SAML),Globales IAM ermöglicht durch federated SSO (OpenID Connect/SAML) eine nahtlose Authentifizierung und Autorisierung über verschiedene Plattformen hinweg.,True,True,True
e92e1d8e-a151-49a6-ab7a-bc45b79009a9,Identitäts- und Zugriffsmanagement,Globales IAM ,Rollenbasierte Zugriffskontrolle (RBAC),"Rollenbasierte Zugriffskontrolle (RBAC) ermöglicht es, Benutzern spezifische Berechtigungen basierend auf ihren Rollen innerhalb einer globalen IAM-Strategie zuzuweisen.",True,True,True
9e9b46ae-caae-4b16-8057-07725973e011,Identitäts- und Zugriffsmanagement,Globales IAM ,hinzufügen von neuen Rollen (Customize),Ermöglicht die flexible Anpassung und Hinzufügung neuer Rollen im globalen Identitäts- und Zugriffsmanagement.,True,True,True
9e94e835-de30-4c17-a50a-01a59be2f196,Identitäts- und Zugriffsmanagement,Globales IAM ,Attributbasierte Zugriffskontrolle (ABAC),"Attributbasierte Zugriffskontrolle (ABAC) ermöglicht eine flexible und dynamische Verwaltung von Benutzerzugriffsrechten basierend auf Attributen wie Rolle, Standort und Kontext.",True,True,True
bcd0ff0d-c9f6-47ab-9532-c6e47e5ca9bd,Identitäts- und Zugriffsmanagement,Globales IAM ,Usergruppen,Globales IAM ermöglicht die Verwaltung von Benutzergruppen zur zentralen Steuerung von Zugriffsrechten und Sicherheitsrichtlinien in einer Cloud-Umgebung.,True,True,True
d91d06fa-0e94-4f60-b6d1-9c286b196595,Identitäts- und Zugriffsmanagement,Globales IAM ,Service Accounts für VMs,Service Accounts für VMs ermöglichen eine sichere und automatisierte Authentifizierung und Autorisierung von virtuellen Maschinen im globalen Identitäts- und Zugriffsmanagement.,True,True,True
e86dd7f2-b573-4ec7-a8a5-3e2d2bb4f108,Identitäts- und Zugriffsmanagement,Globales IAM ,API Key für Cloud Services,"Globales IAM ermöglicht die sichere Verwaltung von API-Keys für Cloud-Services, um den Zugriff auf Ressourcen effizient zu steuern.",True,True,True
5675b8e8-960c-4633-9169-ba7859bf1416,Identitäts- und Zugriffsmanagement,Globales IAM ,MFA,Globales IAM ermöglicht durch Multi-Faktor-Authentifizierung (MFA) eine sichere und flexible Verwaltung von Benutzeridentitäten und Zugriffsrechten in der Cloud.,True,True,True
fd429640-cef0-456d-9032-f5d473e381ee,Infrastrukturmanagement,Softwaremanagement,Lizenzmanager,"Ein Lizenzmanager optimiert die Verwaltung und Überwachung von Softwarelizenzen in der Cloud-Infrastruktur, um Compliance und Kosteneffizienz sicherzustellen.",True,True,True
66078ec0-25e1-4cf5-ad3a-98316dd2fde9,Monitoring und Alerting ,Überwachung,Log Analyse,Effiziente Log-Analyse zur proaktiven Überwachung und schnellen Identifikation von Anomalien in Cloud-Umgebungen.,True,True,True
0409b275-5a2e-4c82-9162-2dd83e7ea2b1,Monitoring und Alerting ,Überwachung,SIEM ,Effiziente Überwachung von Sicherheitsereignissen und -vorfällen durch ein Security Information and Event Management (SIEM) System zur frühzeitigen Erkennung und Reaktion auf Bedrohungen.,True,True,True
a296239a-2371-42cf-9572-8535d3a43811,Monitoring und Alerting ,Überwachung,Flow Logs,"Flow Logs ermöglichen die detaillierte Überwachung des Netzwerkverkehrs, um Anomalien zu erkennen und die Sicherheit zu gewährleisten.",True,True,True
abcb2bf0-66c9-4a85-8494-a414cefb96cf,Monitoring und Alerting ,Überwachung,Notification,Effiziente Benachrichtigungssysteme zur sofortigen Alarmierung bei Anomalien und Leistungsproblemen in der Cloud-Umgebung.,True,True,True
df67f71f-54df-4654-8fb7-7159263eb1c2,Monitoring und Alerting ,Überwachung,KPI/SLA Dashboard,Ein KPI/SLA Dashboard ermöglicht die visuelle Überwachung von Leistungskennzahlen und Service-Level-Agreements in Echtzeit.,True,True,True
30b66522-2e26-4161-898c-a4c84cdc603b,Verwaltung von Benutzeridentitäten,Managed Verzeichnisdienst ,LDAP,Ein Managed Verzeichnisdienst mit LDAP ermöglicht die zentrale Verwaltung und Authentifizierung von Benutzeridentitäten in der Cloud.,True,True,True
d8a71260-6672-4687-a4d0-ccffcfd640a0,Verwaltung von Benutzeridentitäten,Managed Verzeichnisdienst ,AD,Ein Managed Verzeichnisdienst ermöglicht die zentrale Verwaltung von Benutzeridentitäten und Zugriffsrechten über Active Directory in der Cloud.,True,True,True
